CAZy_Family,GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1,GCA_030153165.1_ASM3015316v1
GH23,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
GT51,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0
GT30,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0
GH103,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
GT9,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
GT28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GT19,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0
GH18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GT4,0.0,0.0,2.0,6.0,1.0,3.0,1.0,0.0,0.0
GT52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GT25,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
