KEGG_Pathway,GCA_030146865.1_ASM3014686v1,GCA_046462275.1_ASM4646227v1,GCA_030153165.1_ASM3015316v1,GCA_030151245.1_ASM3015124v1,GCA_030149655.1_ASM3014965v1,GCA_030152945.1_ASM3015294v1,GCA_030150405.1_ASM3015040v1,GCA_046462395.1_ASM4646239v1,GCA_030151425.1_ASM3015142v1
ko01100,331.0,292.0,252.0,389.0,292.0,368.0,332.0,351.0,344.0
ko01110,145.0,134.0,97.0,162.0,111.0,149.0,150.0,152.0,153.0
ko01130,110.0,95.0,74.0,128.0,86.0,112.0,109.0,114.0,114.0
ko01120,93.0,81.0,64.0,114.0,70.0,95.0,84.0,88.0,111.0
ko01230,67.0,63.0,47.0,73.0,45.0,70.0,74.0,64.0,67.0
ko02010,54.0,47.0,33.0,70.0,49.0,67.0,48.0,69.0,78.0
ko00230,50.0,40.0,39.0,54.0,46.0,66.0,47.0,55.0,49.0
ko01200,55.0,38.0,36.0,52.0,42.0,52.0,46.0,52.0,50.0
ko00240,35.0,33.0,27.0,49.0,36.0,41.0,33.0,40.0,35.0
ko00190,32.0,32.0,32.0,32.0,27.0,43.0,38.0,32.0,23.0
ko03010,28.0,48.0,37.0,20.0,26.0,22.0,53.0,29.0,19.0
ko02020,31.0,22.0,23.0,31.0,25.0,31.0,22.0,33.0,26.0
ko02024,21.0,26.0,15.0,30.0,17.0,26.0,22.0,24.0,29.0
ko03440,20.0,19.0,9.0,22.0,21.0,26.0,27.0,25.0,25.0
ko00970,17.0,22.0,16.0,24.0,21.0,19.0,26.0,22.0,26.0
ko00620,25.0,20.0,13.0,25.0,20.0,19.0,18.0,15.0,23.0
ko00020,21.0,15.0,12.0,20.0,17.0,21.0,17.0,19.0,22.0
ko00790,21.0,14.0,15.0,18.0,16.0,20.0,16.0,26.0,17.0
ko03430,17.0,13.0,13.0,19.0,17.0,20.0,21.0,20.0,21.0
ko03030,16.0,11.0,11.0,18.0,16.0,18.0,19.0,20.0,20.0
