mag_id,stress_type,gene_count,strength
GCA_030146865.1_ASM3014686v1,oxidative_stress,139,high
GCA_030146865.1_ASM3014686v1,osmotic_stress,307,high
GCA_030146865.1_ASM3014686v1,acid_stress,189,high
GCA_030146865.1_ASM3014686v1,heat_shock,88,high
GCA_030146865.1_ASM3014686v1,cold_shock,77,high
GCA_030146865.1_ASM3014686v1,starvation_stress,121,high
GCA_046462275.1_ASM4646227v1,oxidative_stress,99,high
GCA_046462275.1_ASM4646227v1,osmotic_stress,230,high
GCA_046462275.1_ASM4646227v1,acid_stress,144,high
GCA_046462275.1_ASM4646227v1,starvation_stress,92,high
GCA_046462275.1_ASM4646227v1,heat_shock,65,high
GCA_046462275.1_ASM4646227v1,cold_shock,61,high
GCA_030153165.1_ASM3015316v1,heat_shock,83,high
GCA_030153165.1_ASM3015316v1,cold_shock,57,high
GCA_030153165.1_ASM3015316v1,starvation_stress,99,high
GCA_030153165.1_ASM3015316v1,osmotic_stress,214,high
GCA_030153165.1_ASM3015316v1,acid_stress,129,high
GCA_030153165.1_ASM3015316v1,oxidative_stress,94,high
GCA_030151245.1_ASM3015124v1,oxidative_stress,182,high
GCA_030151245.1_ASM3015124v1,osmotic_stress,349,high
GCA_030151245.1_ASM3015124v1,acid_stress,229,high
GCA_030151245.1_ASM3015124v1,cold_shock,111,high
GCA_030151245.1_ASM3015124v1,starvation_stress,170,high
GCA_030151245.1_ASM3015124v1,heat_shock,91,high
GCA_030149655.1_ASM3014965v1,oxidative_stress,105,high
GCA_030149655.1_ASM3014965v1,starvation_stress,96,high
GCA_030149655.1_ASM3014965v1,osmotic_stress,236,high
GCA_030149655.1_ASM3014965v1,cold_shock,55,high
GCA_030149655.1_ASM3014965v1,heat_shock,69,high
GCA_030149655.1_ASM3014965v1,acid_stress,145,high
GCA_030152945.1_ASM3015294v1,osmotic_stress,301,high
GCA_030152945.1_ASM3015294v1,acid_stress,183,high
GCA_030152945.1_ASM3015294v1,oxidative_stress,153,high
GCA_030152945.1_ASM3015294v1,cold_shock,88,high
GCA_030152945.1_ASM3015294v1,starvation_stress,154,high
GCA_030152945.1_ASM3015294v1,heat_shock,94,high
GCA_030150405.1_ASM3015040v1,osmotic_stress,249,high
GCA_030150405.1_ASM3015040v1,acid_stress,142,high
GCA_030150405.1_ASM3015040v1,heat_shock,81,high
GCA_030150405.1_ASM3015040v1,cold_shock,57,high
GCA_030150405.1_ASM3015040v1,starvation_stress,92,high
GCA_030150405.1_ASM3015040v1,oxidative_stress,105,high
GCA_046462395.1_ASM4646239v1,osmotic_stress,322,high
GCA_046462395.1_ASM4646239v1,acid_stress,207,high
GCA_046462395.1_ASM4646239v1,cold_shock,95,high
GCA_046462395.1_ASM4646239v1,starvation_stress,149,high
GCA_046462395.1_ASM4646239v1,oxidative_stress,169,high
GCA_046462395.1_ASM4646239v1,heat_shock,97,high
GCA_030151425.1_ASM3015142v1,osmotic_stress,318,high
GCA_030151425.1_ASM3015142v1,acid_stress,193,high
GCA_030151425.1_ASM3015142v1,oxidative_stress,178,high
GCA_030151425.1_ASM3015142v1,heat_shock,81,high
GCA_030151425.1_ASM3015142v1,cold_shock,82,high
GCA_030151425.1_ASM3015142v1,starvation_stress,119,high
